language,wals,metric,algorithm,value,run_id
ANCIENT_GREEK,[grc],del-verses,gzip,-0.8911954227462965,0
ANCIENT_GREEK,[grc],del-verses,gzip,-0.8858084501858394,1
ANCIENT_GREEK,[grc],del-verses,gzip,-0.8889843103030033,2
ANCIENT_GREEK,[grc],del-verses,gzip,-0.8886023148367597,3
ANCIENT_GREEK,[grc],del-verses,gzip,-0.8871830762067013,4
ANCIENT_GREEK,[grc],del-verses,gzip,-0.8884963598899184,5
ANCIENT_GREEK,[grc],del-verses,gzip,-0.8894722607160881,6
ANCIENT_GREEK,[grc],del-verses,gzip,-0.8848715853927165,7
ANCIENT_GREEK,[grc],del-verses,gzip,-0.8871412518855798,8
ANCIENT_GREEK,[grc],del-verses,gzip,-0.8897399363712661,9
APALAÍ,apl,del-verses,gzip,-0.8846746240877457,0
APALAÍ,apl,del-verses,gzip,-0.887603293446698,1
APALAÍ,apl,del-verses,gzip,-0.8884816454294594,2
APALAÍ,apl,del-verses,gzip,-0.8865333462722294,3
APALAÍ,apl,del-verses,gzip,-0.8868244714336546,4
APALAÍ,apl,del-verses,gzip,-0.8878098181338628,5
APALAÍ,apl,del-verses,gzip,-0.8864163985578107,6
APALAÍ,apl,del-verses,gzip,-0.887249962054199,7
APALAÍ,apl,del-verses,gzip,-0.885806777493288,8
APALAÍ,apl,del-verses,gzip,-0.8891285902326265,9
APURINÃ,apu,del-verses,gzip,-0.8910307555071899,0
APURINÃ,apu,del-verses,gzip,-0.8873187486429855,1
APURINÃ,apu,del-verses,gzip,-0.8870519236252625,2
APURINÃ,apu,del-verses,gzip,-0.8846740418496729,3
APURINÃ,apu,del-verses,gzip,-0.8877451454850329,4
APURINÃ,apu,del-verses,gzip,-0.8869917571996976,5
APURINÃ,apu,del-verses,gzip,-0.8871670246132999,6
APURINÃ,apu,del-verses,gzip,-0.8867092365926968,7
APURINÃ,apu,del-verses,gzip,-0.8859113774710743,8
APURINÃ,apu,del-verses,gzip,-0.8868818880747529,9
ASHENINKA,cax,del-verses,gzip,-0.8911471527162939,0
ASHENINKA,cax,del-verses,gzip,-0.8843937739321813,1
ASHENINKA,cax,del-verses,gzip,-0.8887871009906632,2
ASHENINKA,cax,del-verses,gzip,-0.8857846683219613,3
ASHENINKA,cax,del-verses,gzip,-0.8882173370237653,4
ASHENINKA,cax,del-verses,gzip,-0.8856059188421502,5
ASHENINKA,cax,del-verses,gzip,-0.8869716765863318,6
ASHENINKA,cax,del-verses,gzip,-0.8887033121720017,7
ASHENINKA,cax,del-verses,gzip,-0.889990867018766,8
ASHENINKA,cax,del-verses,gzip,-0.887619643450647,9
ENGLISH,eng,del-verses,gzip,-0.887766011455739,0
