language,wals,metric,algorithm,value,run_id
ANCIENT_GREEK,[grc],del-verses,gzip,-0.8888613138686131,0
ANCIENT_GREEK,[grc],del-verses,gzip,-0.8893284671532846,1
ANCIENT_GREEK,[grc],del-verses,gzip,-0.8879124087591241,2
ANCIENT_GREEK,[grc],del-verses,gzip,-0.8885547445255474,3
ANCIENT_GREEK,[grc],del-verses,gzip,-0.8856350364963503,4
ANCIENT_GREEK,[grc],del-verses,gzip,-0.8921605839416058,5
ANCIENT_GREEK,[grc],del-verses,gzip,-0.8845766423357664,6
ANCIENT_GREEK,[grc],del-verses,gzip,-0.8900948905109489,7
ANCIENT_GREEK,[grc],del-verses,gzip,-0.8855620437956204,8
ANCIENT_GREEK,[grc],del-verses,gzip,-0.888007299270073,9
APALAÍ,apl,del-verses,gzip,-0.8816081207426205,0
APALAÍ,apl,del-verses,gzip,-0.8806197408841993,1
APALAÍ,apl,del-verses,gzip,-0.8865767330038734,2
APALAÍ,apl,del-verses,gzip,-0.8920862828903433,3
APALAÍ,apl,del-verses,gzip,-0.8790971016428476,4
APALAÍ,apl,del-verses,gzip,-0.8922198477360759,5
APALAÍ,apl,del-verses,gzip,-0.8896220114865767,6
APALAÍ,apl,del-verses,gzip,-0.8876586082543074,7
APALAÍ,apl,del-verses,gzip,-0.8855082142380125,8
APALAÍ,apl,del-verses,gzip,-0.8830639775611059,9
APINAYÉ,api,del-verses,gzip,-0.8852733384277122,0
APINAYÉ,api,del-verses,gzip,-0.8953198910490514,1
APINAYÉ,api,del-verses,gzip,-0.883449675819359,2
APINAYÉ,api,del-verses,gzip,-0.8886065623725429,3
APINAYÉ,api,del-verses,gzip,-0.8846216954905372,4
APINAYÉ,api,del-verses,gzip,-0.885423356945623,5
APINAYÉ,api,del-verses,gzip,-0.8851514483819096,6
APINAYÉ,api,del-verses,gzip,-0.8842138326449671,7
APINAYÉ,api,del-verses,gzip,-0.8932008794835613,8
APINAYÉ,api,del-verses,gzip,-0.8902567660695617,9
APURINÃ,apu,del-verses,gzip,-0.8857032425493147,0
APURINÃ,apu,del-verses,gzip,-0.8907140786549425,1
APURINÃ,apu,del-verses,gzip,-0.8857791643084908,2
APURINÃ,apu,del-verses,gzip,-0.8888298386317519,3
APURINÃ,apu,del-verses,gzip,-0.8844125726433196,4
APURINÃ,apu,del-verses,gzip,-0.8843159449498226,5
APURINÃ,apu,del-verses,gzip,-0.8882776803831979,6
APURINÃ,apu,del-verses,gzip,-0.8908866281076157,7
APURINÃ,apu,del-verses,gzip,-0.8862692047540826,8
APURINÃ,apu,del-verses,gzip,-0.8844332785776403,9
ASHENINKA,cax,del-verses,gzip,-0.8858932642716426,0
ASHENINKA,cax,del-verses,gzip,-0.8904826202123499,1
ASHENINKA,cax,del-verses,gzip,-0.8881731854704827,2
ASHENINKA,cax,del-verses,gzip,-0.8836428566158296,3
ASHENINKA,cax,del-verses,gzip,-0.887479617209347,4
ASHENINKA,cax,del-verses,gzip,-0.8857530749422642,5
ASHENINKA,cax,del-verses,gzip,-0.8848676686514524,6
ASHENINKA,cax,del-verses,gzip,-0.8898997277375655,7
ASHENINKA,cax,del-verses,gzip,-0.8870221572924276,8
ASHENINKA,cax,del-verses,gzip,-0.887759995868104,9
BAKAIRI,bki,del-verses,gzip,-0.8846293182223712,0
BAKAIRI,bki,del-verses,gzip,-0.8864460942019974,1
BAKAIRI,bki,del-verses,gzip,-0.8838669211594924,2
BAKAIRI,bki,del-verses,gzip,-0.8867867396981772,3
BAKAIRI,bki,del-verses,gzip,-0.8867326689844979,4
BAKAIRI,bki,del-verses,gzip,-0.8879276317568116,5
BAKAIRI,bki,del-verses,gzip,-0.8838020363030772,6
BAKAIRI,bki,del-verses,gzip,-0.8866731911994506,7
BAKAIRI,bki,del-verses,gzip,-0.888225020682048,8
BAKAIRI,bki,del-verses,gzip,-0.8911069897211573,9
BORÔRO,brr,del-verses,gzip,-0.8892547909871218,0
BORÔRO,brr,del-verses,gzip,-0.8863185309935077,1
BORÔRO,brr,del-verses,gzip,-0.8794067377462796,2
BORÔRO,brr,del-verses,gzip,-0.8872451119723027,3
BORÔRO,brr,del-verses,gzip,-0.8824306472919419,4
BORÔRO,brr,del-verses,gzip,-0.8886725475342303,5
BORÔRO,brr,del-verses,gzip,-0.8926606021524226,6
BORÔRO,brr,del-verses,gzip,-0.8850663945356765,7
BORÔRO,brr,del-verses,gzip,-0.8816918867818215,8
BORÔRO,brr,del-verses,gzip,-0.8864750480507365,9
CANELA,cnl,del-verses,gzip,-0.8824988511509378,0
CANELA,cnl,del-verses,gzip,-0.8881282115553327,1
CANELA,cnl,del-verses,gzip,-0.8892718385762627,2
CANELA,cnl,del-verses,gzip,-0.883282157329657,3
CANELA,cnl,del-verses,gzip,-0.8806659146927351,4
CANELA,cnl,del-verses,gzip,-0.8868696996281906,5
CANELA,cnl,del-verses,gzip,-0.8845720015039479,6
CANELA,cnl,del-verses,gzip,-0.8890107365166896,7
CANELA,cnl,del-verses,gzip,-0.8887705226218824,8
CANELA,cnl,del-verses,gzip,-0.8936270209299411,9
CULINA,cul,del-verses,gzip,-0.8879716596105918,0
CULINA,cul,del-verses,gzip,-0.8913400737894932,1
CULINA,cul,del-verses,gzip,-0.8885648052414483,2
CULINA,cul,del-verses,gzip,-0.8902952668066998,3
CULINA,cul,del-verses,gzip,-0.8866710925851354,4
CULINA,cul,del-verses,gzip,-0.8855283349477052,5
CULINA,cul,del-verses,gzip,-0.8890273499994559,6
CULINA,cul,del-verses,gzip,-0.8861486890937388,7
CULINA,cul,del-verses,gzip,-0.8873077718402751,8
CULINA,cul,del-verses,gzip,-0.8904041008674075,9
DESANO,des,del-verses,gzip,-0.8927491663098343,0
DESANO,des,del-verses,gzip,-0.8851129536636952,1
DESANO,des,del-verses,gzip,-0.8901864611312235,2
DESANO,des,del-verses,gzip,-0.8906470992772523,3
DESANO,des,del-verses,gzip,-0.8886683016076921,4
DESANO,des,del-verses,gzip,-0.884879390660075,5
DESANO,des,del-verses,gzip,-0.8878119039277512,6
DESANO,des,del-verses,gzip,-0.8818171201681654,7
DESANO,des,del-verses,gzip,-0.8853659802509505,8
DESANO,des,del-verses,gzip,-0.8847431455746299,9
ENGLISH,eng,del-verses,gzip,-0.8883909651697562,0
ENGLISH,eng,del-verses,gzip,-0.8803151830981494,1
ENGLISH,eng,del-verses,gzip,-0.8833288860286616,2
ENGLISH,eng,del-verses,gzip,-0.8885871697876281,3
ENGLISH,eng,del-verses,gzip,-0.8918991037373055,4
ENGLISH,eng,del-verses,gzip,-0.8835329388312483,5
ENGLISH,eng,del-verses,gzip,-0.8871352556153762,6
ENGLISH,eng,del-verses,gzip,-0.8894975592145536,7
ENGLISH,eng,del-verses,gzip,-0.8898350311572933,8
ENGLISH,eng,del-verses,gzip,-0.8891129981635247,9
FRENCH,fre,del-verses,gzip,-0.884568933830424,0
FRENCH,fre,del-verses,gzip,-0.8886571799353382,1
FRENCH,fre,del-verses,gzip,-0.886714325364379,2
FRENCH,fre,del-verses,gzip,-0.8845089228784253,3
FRENCH,fre,del-verses,gzip,-0.8876895033343585,4
FRENCH,fre,del-verses,gzip,-0.890712555041295,5
FRENCH,fre,del-verses,gzip,-0.8852515584094097,6
FRENCH,fre,del-verses,gzip,-0.8862642432243885,7
FRENCH,fre,del-verses,gzip,-0.886046703523393,8
FRENCH,fre,del-verses,gzip,-0.8887246922563368,9
GERMANY,ger,del-verses,gzip,-0.8885403457251552,0
GERMANY,ger,del-verses,gzip,-0.8888443940169228,1
GERMANY,ger,del-verses,gzip,-0.8889037205128776,2
GERMANY,ger,del-verses,gzip,-0.8896378859003167,3
GERMANY,ger,del-verses,gzip,-0.8882214658093988,4
GERMANY,ger,del-verses,gzip,-0.884743449984056,5
GERMANY,ger,del-verses,gzip,-0.8865677397346623,6
GERMANY,ger,del-verses,gzip,-0.8873241525580844,7
GERMANY,ger,del-verses,gzip,-0.8860189696470815,8
GERMANY,ger,del-verses,gzip,-0.8929230906138068,9
GUAJAJARA,gjj,del-verses,gzip,-0.8864711111111111,0
GUAJAJARA,gjj,del-verses,gzip,-0.8813807407407407,1
GUAJAJARA,gjj,del-verses,gzip,-0.8875437037037037,2
GUAJAJARA,gjj,del-verses,gzip,-0.8807170370370371,3
GUAJAJARA,gjj,del-verses,gzip,-0.8860681481481482,4
GUAJAJARA,gjj,del-verses,gzip,-0.8857481481481482,5
GUAJAJARA,gjj,del-verses,gzip,-0.886874074074074,6
GUAJAJARA,gjj,del-verses,gzip,-0.8822340740740741,7
GUAJAJARA,gjj,del-verses,gzip,-0.8849540740740741,8
GUAJAJARA,gjj,del-verses,gzip,-0.8837155555555556,9
GUARANI_EASTERN_BOLIVIAN,crg,del-verses,gzip,-0.8901744750678142,0
GUARANI_EASTERN_BOLIVIAN,crg,del-verses,gzip,-0.8898981949700278,1
GUARANI_EASTERN_BOLIVIAN,crg,del-verses,gzip,-0.8835604969692911,2
GUARANI_EASTERN_BOLIVIAN,crg,del-verses,gzip,-0.888474933860219,3
GUARANI_EASTERN_BOLIVIAN,crg,del-verses,gzip,-0.8890023776832658,4
GUARANI_EASTERN_BOLIVIAN,crg,del-verses,gzip,-0.8919242490204615,5
GUARANI_EASTERN_BOLIVIAN,crg,del-verses,gzip,-0.8892200529118248,6
GUARANI_EASTERN_BOLIVIAN,crg,del-verses,gzip,-0.896972639898195,7
GUARANI_EASTERN_BOLIVIAN,crg,del-verses,gzip,-0.8882153980107833,8
GUARANI_EASTERN_BOLIVIAN,crg,del-verses,gzip,-0.8898228458524496,9
GUARANI_MBYA,[gun],del-verses,gzip,-0.8886907154340836,0
GUARANI_MBYA,[gun],del-verses,gzip,-0.8887577036441586,1
GUARANI_MBYA,[gun],del-verses,gzip,-0.8863879957127545,2
GUARANI_MBYA,[gun],del-verses,gzip,-0.8850231109324759,3
GUARANI_MBYA,[gun],del-verses,gzip,-0.8895029474812433,4
GUARANI_MBYA,[gun],del-verses,gzip,-0.8879203510182208,5
GUARANI_MBYA,[gun],del-verses,gzip,-0.8898630091103966,6
GUARANI_MBYA,[gun],del-verses,gzip,-0.8888581859592711,7
GUARANI_MBYA,[gun],del-verses,gzip,-0.889829515005359,8
GUARANI_MBYA,[gun],del-verses,gzip,-0.892416934619507,9
GUARANI_PARAGUAY,gua,del-verses,gzip,-0.8896811472903153,0
GUARANI_PARAGUAY,gua,del-verses,gzip,-0.8919345233304898,1
GUARANI_PARAGUAY,gua,del-verses,gzip,-0.889624812889311,2
GUARANI_PARAGUAY,gua,del-verses,gzip,-0.8878703986866037,3
GUARANI_PARAGUAY,gua,del-verses,gzip,-0.8888924656762542,4
GUARANI_PARAGUAY,gua,del-verses,gzip,-0.8892465676254245,5
GUARANI_PARAGUAY,gua,del-verses,gzip,-0.8888763701331102,6
GUARANI_PARAGUAY,gua,del-verses,gzip,-0.890252539071931,7
GUARANI_PARAGUAY,gua,del-verses,gzip,-0.8912102238890052,8
GUARANI_PARAGUAY,gua,del-verses,gzip,-0.8872426725039837,9
GUARANI_WESTERN_BOLIVIAN,[gnw],del-verses,gzip,-0.8909850984433566,0
GUARANI_WESTERN_BOLIVIAN,[gnw],del-verses,gzip,-0.8860650083525178,1
GUARANI_WESTERN_BOLIVIAN,[gnw],del-verses,gzip,-0.8876025365059049,2
GUARANI_WESTERN_BOLIVIAN,[gnw],del-verses,gzip,-0.8916416645196679,3
GUARANI_WESTERN_BOLIVIAN,[gnw],del-verses,gzip,-0.8836132742700896,4
GUARANI_WESTERN_BOLIVIAN,[gnw],del-verses,gzip,-0.8892314852521962,5
GUARANI_WESTERN_BOLIVIAN,[gnw],del-verses,gzip,-0.8888242480656233,6
GUARANI_WESTERN_BOLIVIAN,[gnw],del-verses,gzip,-0.8879848408035039,7
